ticker,report_date,report_time,reported_eps,estimated_eps,surprise_pct,sign_flip,pre_close,post_close,actual_move,implied_move,move_vs_implied,net_premium,iv_rank,fwd_5d,fwd_10d,fwd_21d,bucket
COST,2024-12-12,postmarket,3.82,3.786,0.9,False,988.39,989.35,0.001,0.0276,0.04,-5493084.0,29.50630096511135,-0.0357,-0.0679,-0.0703,up
GIS,2024-12-18,premarket,1.4,1.221,14.66,False,65.93,63.91,-0.0306,0.0345,0.89,14473.0,51.311345510308804,-0.0023,-0.0005,-0.0718,orderly
MU,2024-12-18,postmarket,1.62,1.749,-7.38,False,103.9,87.09,-0.1618,0.1086,1.49,-25653087.0,41.881477589994184,0.0177,0.1397,0.2038,overreaction
ACN,2024-12-19,premarket,3.59,3.38,6.21,False,347.61,372.16,0.0706,0.0495,1.43,1893636.0,33.91425391831778,-0.0429,-0.056,-0.0239,up
NKE,2024-12-19,postmarket,0.78,0.631,23.61,False,77.1,76.94,-0.0021,0.0997,0.02,3210648.0,22.693238872252444,-0.0298,-0.063,-0.0438,orderly
CCL,2024-12-20,premarket,0.14,0.076,84.21,False,25.18,26.8,0.0643,0.0634,1.02,452494.0,10.513757496496941,-0.0653,-0.1104,-0.0515,up
DAL,2025-01-10,premarket,1.85,1.758,5.23,False,61.42,66.95,0.09,0.0491,1.84,4194319.0,42.62576242768335,-0.0169,0.0122,-0.0329,up
C,2025-01-15,premarket,1.34,1.249,7.29,False,73.5,78.27,0.0649,0.0343,1.89,12093127.0,17.57401303675059,0.0474,0.0459,0.081,up
GS,2025-01-15,premarket,11.95,7.99,49.56,False,571.53,605.92,0.0602,0.0334,1.8,5951216.0,31.104075059043726,0.0554,0.0657,0.0902,up
JPM,2025-01-15,premarket,4.81,4.025,19.5,False,247.47,252.35,0.0197,0.0309,0.64,3639243.0,31.213240880846346,0.0539,0.0629,0.0961,up
BAC,2025-01-16,premarket,0.82,0.773,6.08,False,47.1,46.64,-0.0098,0.029,0.34,-1605840.0,15.836901009643396,-0.0026,-0.0073,-0.0024,orderly
MS,2025-01-16,premarket,2.22,1.648,34.71,False,130.55,135.81,0.0403,0.0318,1.27,2076839.0,21.707824676500223,0.0148,0.0193,0.0361,up
UNH,2025-01-16,premarket,6.81,6.708,1.52,False,543.42,510.59,-0.0604,0.0379,1.6,-1265043.0,34.87781196313456,0.0429,0.0625,-0.0193,overreaction
SLB,2025-01-17,premarket,0.92,0.902,2.0,False,41.09,43.58,0.0606,0.0313,1.93,1813378.0,31.14520690142284,-0.0239,-0.0785,-0.0321,up
COF,2025-01-21,postmarket,3.09,2.661,16.12,False,193.21,200.93,0.04,0.0444,0.9,571009.0,18.078968784214116,0.0148,0.0142,-0.0036,up
IBKR,2025-01-21,postmarket,2.03,1.855,9.43,False,48.21,52.45,0.0879,0.0684,1.29,-657078.0,33.88378088428075,0.0069,0.1127,0.0425,up
NFLX,2025-01-21,postmarket,4.27,4.187,1.98,False,86.97,95.4,0.0969,0.0705,1.38,9763778.0,14.702543450205,0.0254,0.0599,0.0516,up
SCHW,2025-01-21,premarket,1.01,0.901,12.1,False,76.41,80.93,0.0592,0.0503,1.18,5967313.0,12.997675625931045,0.0095,0.0108,0.0111,up
APH,2025-01-22,premarket,0.55,0.501,9.78,False,72.72,77.84,0.0704,0.0738,0.95,-911560.0,29.770529623338685,-0.1087,-0.1069,-0.1318,up
GEV,2025-01-22,premarket,1.73,2.32,-25.43,False,416.0,427.1,0.0267,0.0575,0.46,4282214.0,39.28128387461818,-0.1729,-0.1385,-0.2323,up
HAL,2025-01-22,premarket,0.7,0.699,0.14,False,29.53,28.48,-0.0356,0.036,0.99,-91920.0,23.35226059625771,-0.0741,-0.0769,-0.0779,orderly
JNJ,2025-01-22,premarket,2.04,2.003,1.85,False,148.15,145.27,-0.0194,0.0207,0.94,-1563537.0,32.000541971650385,0.0405,0.0648,0.1172,orderly
KMI,2025-01-22,postmarket,0.32,0.333,-3.9,False,30.78,30.48,-0.0097,0.0346,0.28,-713756.0,62.555181808494694,-0.0781,-0.1214,-0.1316,orderly
PG,2025-01-22,premarket,1.88,1.863,0.91,False,161.72,164.74,0.0187,0.0296,0.63,444695.0,40.691612155933655,0.009,0.0259,0.0333,up
FCX,2025-01-23,premarket,0.31,0.235,31.91,False,39.09,38.5,-0.0151,0.0359,0.42,7801531.0,21.724652319450463,-0.0483,-0.0351,-0.0361,orderly
GE,2025-01-23,premarket,1.32,1.026,28.65,False,188.36,200.8,0.066,0.0508,1.3,-3457045.0,13.223836458428712,0.0238,0.0262,-0.0104,up
TXN,2025-01-23,postmarket,1.3,1.186,9.61,False,200.61,185.52,-0.0752,0.0404,1.86,-1719028.0,30.6050094799099,-0.0049,-0.0298,0.0779,overreaction
AXP,2025-01-24,premarket,3.04,3.029,0.36,False,325.87,321.34,-0.0139,0.0342,0.41,-2680523.0,17.014377605094293,-0.0121,-0.0142,-0.0871,orderly
T,2025-01-27,premarket,0.54,0.484,11.57,False,22.72,24.14,0.0625,0.0363,1.72,485712.0,14.619832766955279,0.0046,0.0298,0.1007,up
BA,2025-01-28,premarket,-5.9,-3.221,-83.17,False,175.16,177.78,0.015,0.0403,0.37,15643500.0,24.991767306489578,-0.0087,0.015,-0.0222,up
GM,2025-01-28,premarket,1.92,1.787,7.44,False,54.92,50.04,-0.0889,0.0556,1.6,-1604229.0,50.75006686252622,-0.0294,-0.0667,-0.0482,overreaction
NEE,2025-01-28,premarket,0.53,0.507,4.54,False,73.83,70.54,-0.0446,0.0288,1.55,182026.0,49.14085991158948,-0.0091,-0.003,-0.0164,overreaction
SBUX,2025-01-28,postmarket,0.69,0.656,5.18,False,100.41,108.58,0.0814,0.058,1.4,5409473.0,26.619876155511772,0.0338,0.0411,0.0666,up
GLW,2025-01-29,premarket,0.57,0.561,1.6,False,51.23,49.8,-0.0279,0.0519,0.54,-125325.0,66.6610107064405,0.0701,0.0444,0.007,orderly
IBM,2025-01-29,postmarket,3.92,3.728,5.15,False,228.63,258.27,0.1296,0.0571,2.27,14335335.0,50.75133828477809,-0.0187,0.0036,-0.0313,up
LRCX,2025-01-29,postmarket,0.91,0.873,4.24,False,75.15,80.73,0.0743,0.0574,1.29,2712720.0,47.10666093155384,0.026,0.0318,-0.0613,up
META,2025-01-29,postmarket,8.02,6.682,20.02,False,676.49,687.0,0.0155,0.0634,0.25,34230853.0,20.0437629385773,0.0364,0.0605,-0.0465,up
MSFT,2025-01-29,postmarket,3.23,3.111,3.83,False,442.33,414.99,-0.0618,0.0359,1.72,-65196714.0,34.7417218475738,0.002,-0.0107,-0.0639,overreaction
NOW,2025-01-29,postmarket,1.93,3.577,-46.04,False,228.73,202.55,-0.1145,0.0603,1.9,-925152.0,43.945852789203485,0.0104,-0.023,-0.1012,capitulation
TSLA,2025-01-29,postmarket,0.66,0.753,-12.35,False,389.1,400.28,0.0287,0.0786,0.37,113537663.0,41.690671147705636,-0.0649,-0.1108,-0.2889,up
AAPL,2025-01-30,postmarket,2.4,2.355,1.91,False,237.59,236.0,-0.0067,0.0352,0.19,-18005155.0,42.17434738972995,-0.0355,0.0364,-0.0003,orderly
BX,2025-01-30,premarket,1.69,1.46,15.75,False,185.38,177.78,-0.041,0.0344,1.19,-3848029.0,38.05612112503372,-0.0182,-0.0973,-0.1083,overreaction
CAT,2025-01-30,premarket,5.14,4.967,3.48,False,393.23,374.98,-0.0464,0.0349,1.33,-294980.0,16.11046042522427,-0.0254,-0.0567,-0.1145,overreaction
CMCSA,2025-01-30,premarket,0.96,0.876,9.59,False,37.36,33.25,-0.11,0.0425,2.59,-340601.0,31.178503961930506,0.0367,0.0641,0.0821,overreaction
